set,gcs_uri,label
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180421T100031_7_89.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180225T114351_2_31.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170825T093029_53_75.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170831T095029_11_1.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170709T094029_23_78.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180527T093041_78_75.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180205T100211_90_25.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180201T093219_42_1.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171016T101009_49_3.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170911T092019_48_18.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170924T093019_78_19.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20171002T112112_0_54.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170814T100029_61_87.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180526T100031_30_59.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20171002T112112_78_15.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180421T100029_1_24.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171016T101009_86_34.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180511T100029_26_44.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180511T100029_56_22.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20171101T94132_82_4.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170613T101031_57_5.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171016T101009_63_1.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180525T94030_22_14.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20171002T112111_0_86.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180430T094031_78_90.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180509T092029_7_31.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170709T094029_51_63.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170914T93030_56_82.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170911T092019_25_11.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170924T093019_11_56.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20171002T112112_46_18.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180515T112109_25_17.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180526T100031_68_82.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180413T95032_15_19.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170717T113321_81_88.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170927T94020_52_48.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180506T105029_41_19.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180417T102019_59_50.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170813T112121_4_30.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170818T103021_22_41.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20171015T095031_37_83.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180422T093029_1_45.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171206T094349_54_36.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170802T092029_21_2.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171112T114339_24_54.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180417T102019_73_35.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170825T093029_42_77.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180525T94030_30_43.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170927T094019_84_23.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180422T093029_41_54.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171107T105229_77_25.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180515T112109_39_11.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180506T100031_27_80.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180204T94160_33_19.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170613T101031_64_85.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170717T113321_66_66.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170924T93020_18_29.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180421T100029_74_78.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20170717T113321_51_77.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20180502T093039_5_33.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20170808T094029_6_28.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2B_MSIL2A_20171112T114339_29_13.png,no_cloud_and_shadow
TRAIN,gs://big_earth_us_central_1/png_image_files/S2A_MSIL2A_20180529T115401_60_78.png,no_cloud_and_shadow
